Brand,Model,AccelSec,Top Speed MPH,Range (miles),Efficiency WhM,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,Price (USD)
Aiways ,U5 ,9.0,93.0,208.0,117.0,Yes,FWD,Type 2 CCS,SUV,C,5,38941.560000000005
Audi ,e-tron Sportback 50 quattro,6.8,118.0,183.0,136.0,Yes,AWD,Type 2 CCS,SUV,E,5,75115.08
Audi ,e-tron 55 quattro,5.7,124.0,227.0,147.0,Yes,AWD,Type 2 CCS,SUV,E,5,85800.6
Audi ,e-tron S Sportback 55 quattro,4.5,130.0,208.0,160.0,Yes,AWD,Type 2 CCS,SUV,E,5,103734.0
Audi ,e-tron Sportback 55 quattro,5.7,124.0,236.0,142.0,Yes,AWD,Type 2 CCS,SUV,E,5,88170.12000000001
Audi ,Q4 Sportback e-tron ,6.3,112.0,255.0,117.0,Yes,AWD,Type 2 CCS,SUV,D,5,62100.00000000001
Audi ,Q4 e-tron ,6.3,112.0,249.0,120.0,Yes,AWD,Type 2 CCS,SUV,D,5,59400.00000000001
Audi ,e-tron 50 quattro,6.8,118.0,174.0,144.0,Yes,AWD,Type 2 CCS,SUV,E,5,72746.64
Audi ,e-tron S 55 quattro,4.5,130.0,199.0,168.0,Yes,AWD,Type 2 CCS,SUV,E,5,101304.0
Audi ,e-tron GT ,3.5,149.0,264.0,122.0,Yes,AWD,Type 2 CCS,Sedan,F,4,135000.0
BMW ,i3s 120 Ah,6.9,99.0,143.0,103.0,Yes,RWD,Type 2 CCS,Hatchback,B,4,44848.08
BMW ,iX3 ,6.8,112.0,224.0,128.0,Yes,RWD,Type 2 CCS,SUV,D,5,73483.20000000001
BMW ,i3 120 Ah,7.3,93.0,146.0,100.0,Yes,RWD,Type 2 CCS,Hatchback,B,4,41058.36
BMW ,i4 ,4.0,124.0,280.0,111.0,Yes,RWD,Type 2 CCS,Sedan,D,5,70200.0
Byton ,M-Byte 95 kWh 4WD,5.5,118.0,242.0,152.0,Yes,AWD,Type 2 CCS,SUV,E,5,69120.0
Byton ,M-Byte 95 kWh 2WD,7.5,118.0,249.0,148.0,Yes,AWD,Type 2 CCS,SUV,E,5,66960.0
Byton ,M-Byte 72 kWh 2WD,7.5,118.0,202.0,138.0,Yes,RWD,Type 2 CCS,SUV,E,5,57780.00000000001
CUPRA ,el-Born ,6.5,99.0,264.0,112.0,Yes,RWD,Type 2 CCS,Hatchback,C,4,48600.0
Citroen ,e-C4 ,9.7,93.0,155.0,112.0,Yes,FWD,Type 2 CCS,SUV,C,5,43200.0
DS ,3 Crossback E-Tense,8.7,93.0,155.0,112.0,Yes,FWD,Type 2 CCS,SUV,B,5,40415.76
Fiat ,500e Convertible,9.0,93.0,155.0,104.0,Yes,FWD,Type 2 CCS,Cabrio,B,4,40932.0
Fiat ,500e Hatchback,9.0,93.0,155.0,104.0,Yes,FWD,Type 2 CCS,Hatchback,B,4,37692.0
Ford ,Mustang Mach-E ER AWD,6.0,112.0,267.0,130.0,Yes,AWD,Type 2 CCS,SUV,D,5,67932.0
Ford ,Mustang Mach-E SR RWD,6.6,112.0,224.0,121.0,Yes,RWD,Type 2 CCS,SUV,D,5,50652.0
Ford ,Mustang Mach-E SR AWD,6.0,112.0,211.0,128.0,Yes,AWD,Type 2 CCS,SUV,D,5,58320.00000000001
Ford ,Mustang Mach-E ER RWD,7.0,112.0,280.0,124.0,Yes,RWD,Type 2 CCS,SUV,D,5,58833.00000000001
Honda ,e ,9.5,90.0,106.0,104.0,Yes,RWD,Type 2 CCS,Hatchback,B,4,35636.76
Honda ,e Advance,8.3,90.0,106.0,104.0,Yes,RWD,Type 2 CCS,Hatchback,B,4,38794.68
Hyundai ,Kona Electric 39 kWh,9.9,96.0,158.0,96.0,Yes,FWD,Type 2 CCS,SUV,B,5,36688.68
Hyundai ,IONIQ Electric,9.7,103.0,155.0,95.0,Yes,FWD,Type 2 CCS,Liftback,C,5,37215.72
Hyundai ,Kona Electric 64 kWh,7.9,104.0,249.0,99.0,Yes,FWD,Type 2 CCS,SUV,B,5,44058.600000000006
Jaguar ,I-Pace ,4.8,124.0,227.0,144.0,Yes,AWD,Type 2 CCS,SUV,E,5,81379.08
Kia ,e-Soul 64 kWh,7.9,104.0,227.0,109.0,Yes,FWD,Type 2 CCS,SUV,B,5,39783.96
Kia ,e-Niro 39 kWh,9.8,96.0,146.0,104.0,Yes,FWD,Type 2 CCS,SUV,C,5,37152.0
Kia ,e-Niro 64 kWh,7.8,104.0,230.0,107.0,Yes,FWD,Type 2 CCS,SUV,C,5,41153.4
Kia ,e-Soul 64 kWh,7.9,104.0,227.0,109.0,Yes,FWD,Type 2 CCS,SUV,B,5,39783.96
Kia ,e-Soul 39 kWh,9.9,98.0,143.0,106.0,Yes,FWD,Type 2 CCS,SUV,B,5,35783.64
Lexus ,UX 300e,7.5,99.0,168.0,120.0,Yes,FWD,Type 2 CHAdeMO,SUV,C,5,54000.0
Lightyear ,One ,10.0,93.0,357.0,65.0,Yes,AWD,Type 2 CCS,Liftback,F,5,160920.0
Lucid ,Air ,2.8,155.0,379.0,112.0,Yes,AWD,Type 2 CCS,Sedan,F,5,113400.00000000001
MG ,ZS EV,8.2,87.0,137.0,120.0,Yes,FWD,Type 2 CCS,SUV,B,5,32400.000000000004
Mazda ,MX-30 ,9.0,93.0,112.0,111.0,Yes,FWD,Type 2 CCS,SUV,C,5,35257.68
Mercedes ,EQC 400 4MATIC,5.1,112.0,230.0,134.0,Yes,AWD,Type 2 CCS,SUV,D,5,75042.72
Mercedes ,EQA ,5.0,124.0,217.0,106.0,Yes,AWD,Type 2 CCS,SUV,C,5,48600.0
Mercedes ,EQV 300 Long,10.0,87.0,205.0,170.0,Yes,FWD,Type 2 CCS,SPV,N,7,76281.48000000001
Mini ,Cooper SE ,7.3,93.0,115.0,97.0,Yes,FWD,Type 2 CCS,Hatchback,B,4,34215.48
Nissan ,Ariya 87kWh,7.6,99.0,273.0,123.0,Yes,FWD,Type 2 CCS,Hatchback,C,5,54000.0
Nissan ,e-NV200 Evalia ,14.0,76.0,118.0,124.0,Yes,FWD,Type 1 CHAdeMO,SPV,N,7,35905.68
Nissan ,Ariya e-4ORCE 63kWh,5.9,124.0,202.0,121.0,Yes,AWD,Type 2 CCS,Hatchback,C,5,54000.0
Nissan ,Ariya e-4ORCE 87kWh Performance,5.1,124.0,233.0,144.0,Yes,AWD,Type 2 CCS,Hatchback,C,5,70200.0
Nissan ,Leaf e+,7.3,98.0,202.0,107.0,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,40215.96
Nissan ,Ariya 63kWh,7.5,99.0,205.0,119.0,Yes,FWD,Type 2 CCS,Hatchback,C,5,48600.0
Nissan ,Ariya e-4ORCE 87kWh,5.7,124.0,261.0,129.0,Yes,AWD,Type 2 CCS,Hatchback,C,5,62100.00000000001
Nissan ,Leaf ,7.9,89.0,137.0,102.0,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,31572.72
Opel ,Ampera-e ,7.3,93.0,208.0,107.0,Yes,FWD,Type 2 CCS,MPV,B,5,45258.48
Opel ,Mokka-e ,8.5,93.0,158.0,109.0,Yes,FWD,Type 2 CCS,SUV,B,5,37800.0
Opel ,Corsa-e ,8.1,93.0,171.0,102.0,Yes,FWD,Type 2 CCS,Hatchback,B,5,31477.68
Peugeot ,e-208 ,8.1,93.0,171.0,102.0,Yes,FWD,Type 2 CCS,Hatchback,B,5,32056.56
